sell_price,bedrooms_num,bathrooms_num,house_area,park_area,floors,score,structure_area,basement_area,bulid_year,fix_year,latitude,longitude,sell_year,sell_month,sell_day,house_old,fix_old
362000,5,3.0,1810,3000,2.0,7,1810,0,1998,0,47.5622,-122.291,2014,7,8,16,0
495000,4,3.0,2740,2811,2.0,8,2240,500,2003,0,47.7738,-122.15799999999999,2014,8,15,11,0
585000,3,3.5,1700,2197,2.0,8,1260,440,2010,0,47.5767,-122.41,2014,9,16,4,0
630000,4,2.0,1770,6000,2.0,7,1770,0,1911,1981,47.6493,-122.40100000000001,2014,5,12,103,33
550000,3,1.0,1130,7500,1.0,7,880,250,1947,0,47.6973,-122.389,2014,12,10,67,0
247200,3,1.0,1590,11200,1.0,7,1590,0,1961,0,47.2894,-122.18799999999999,2014,7,16,53,0
404500,2,1.0,1270,3700,1.5,7,1270,0,1909,0,47.5949,-122.307,2014,10,30,105,0
455000,3,1.75,1180,14292,1.0,7,1180,0,1981,0,47.4818,-121.73299999999999,2014,6,18,33,0
527500,3,2.5,1380,1389,3.0,8,1380,0,2008,0,47.6427,-122.32700000000001,2014,10,21,6,0
869950,4,2.75,3140,7928,2.0,9,3140,0,2013,0,47.5923,-122.05799999999999,2014,12,15,1,0
535000,3,1.75,1380,3561,1.0,7,860,520,1925,0,47.6822,-122.399,2014,8,25,89,0
1065500,3,2.25,2950,7232,1.0,8,1520,1430,1983,0,47.5257,-122.382,2015,4,20,32,0
431000,3,2.25,1830,8831,1.0,7,1460,370,1979,0,47.7286,-122.215,2015,2,2,36,0
365000,2,1.0,1250,8100,1.0,7,1250,0,1947,0,47.7294,-122.329,2014,6,4,67,0
270000,3,2.5,1350,1189,2.0,7,1080,270,2007,0,47.5218,-122.35799999999999,2015,3,24,8,0
712000,4,2.5,3400,247421,2.0,9,3400,0,2001,0,47.3623,-121.971,2014,5,21,13,0
461000,3,3.25,2770,6278,2.0,9,1980,790,2006,0,47.5228,-122.199,2014,6,18,8,0
468000,3,2.25,1470,5597,2.0,7,1470,0,1985,0,47.5674,-122.01899999999999,2015,4,14,30,0
343000,4,2.5,2070,4500,2.0,7,2070,0,2004,0,47.3497,-122.02600000000001,2014,6,5,10,0
312000,2,1.0,1160,7500,1.5,7,1160,0,1916,0,47.6499,-121.916,2014,12,23,98,0
675000,4,2.75,2280,3200,1.5,8,1520,760,1931,0,47.6709,-122.28200000000001,2014,9,12,83,0
400000,3,2.5,2180,7508,1.0,7,1420,760,1962,0,47.7606,-122.336,2014,6,25,52,0
360000,4,2.0,1630,10375,1.0,7,1630,0,1968,0,47.7566,-122.073,2014,6,10,46,0
399950,3,2.25,1560,11997,1.0,7,1260,300,1988,0,47.5378,-121.742,2015,3,14,27,0
485000,3,2.25,2440,47916,2.0,8,2090,350,1991,0,47.6347,-121.958,2014,7,1,23,0
830000,4,2.75,2090,13500,1.0,8,2090,0,1949,0,47.573,-122.225,2015,3,27,66,0
500000,3,1.75,1540,10800,1.0,6,770,770,1947,0,47.5763,-122.22200000000001,2014,6,16,67,0
1583000,4,4.0,5610,11063,3.0,11,4750,860,2006,0,47.65,-122.065,2015,4,24,9,0
800000,4,2.25,2010,7200,1.0,8,1010,1000,1950,0,47.5591,-122.26700000000001,2014,10,17,64,0
810000,4,2.5,3520,15420,2.0,10,3520,0,1991,0,47.6375,-122.016,2014,10,1,23,0
358500,2,1.75,1400,865,2.0,8,1110,290,2005,0,47.5478,-121.999,2015,1,28,10,0
259875,5,2.5,2200,6250,2.0,7,2200,0,1996,0,47.3675,-122.021,2015,3,6,19,0
334000,2,1.0,900,1818,2.0,7,900,0,1945,0,47.6485,-122.397,2015,3,26,70,0
249500,4,1.5,2120,8554,1.0,7,1170,950,1977,0,47.2933,-122.195,2015,2,11,38,0
722500,4,3.5,2600,5100,2.0,8,1820,780,2003,0,47.6948,-122.395,2014,9,18,11,0
323000,3,1.75,2100,14850,1.0,7,2100,0,1963,0,47.3622,-122.059,2014,9,8,51,0
660000,4,2.5,2290,9120,2.0,8,2290,0,1977,0,47.5613,-122.12799999999999,2014,11,7,37,0
1599950,5,4.5,5130,43123,2.0,11,5130,0,1996,0,47.544,-122.126,2014,10,3,18,0
522000,4,2.25,1800,8623,1.0,8,1360,440,1980,0,47.692,-122.184,2014,5,12,34,0
710000,4,2.75,2710,41811,1.5,8,1690,1020,1995,0,47.5836,-122.046,2014,9,3,19,0
274000,3,1.5,1450,4694,2.0,7,1450,0,2011,0,47.3654,-122.021,2014,8,11,3,0
319000,4,3.25,2360,8344,2.0,8,2360,0,1990,0,47.4403,-122.126,2015,3,16,25,0
482500,3,2.5,1690,3068,2.0,7,1690,0,2005,0,47.6763,-122.02799999999999,2015,1,5,10,0
734000,4,2.75,3090,7650,2.0,8,2340,750,1959,1989,47.3622,-122.15700000000001,2014,9,23,55,25
650000,3,2.5,3060,7831,2.0,9,3060,0,2004,0,47.5401,-121.861,2014,8,20,10,0
760000,4,2.5,3520,8095,2.0,9,3520,0,2006,0,47.7065,-122.109,2015,5,2,9,0
818000,3,3.25,2200,4800,2.0,7,1910,290,1943,1996,47.6551,-122.353,2015,4,28,72,19
425000,2,1.0,910,4635,1.0,6,910,0,1905,0,47.675,-122.39299999999999,2014,6,9,109,0
345000,5,2.5,2450,6994,2.0,8,2450,0,2002,0,47.3572,-122.19200000000001,2014,7,2,12,0
460000,3,2.5,1690,5131,1.0,7,1690,0,1941,1998,47.5234,-122.38,2014,9,18,73,16
965000,4,3.25,5010,49222,2.0,9,3710,1300,1978,0,47.5489,-122.09200000000001,2014,10,10,36,0
400000,3,1.5,1330,9900,1.0,7,1330,0,1956,0,47.7167,-122.23299999999999,2014,10,27,58,0
933000,3,1.5,1870,3300,2.0,7,1870,0,1906,0,47.6221,-122.325,2014,11,26,108,0
411800,4,2.25,2190,6800,1.0,7,1340,850,1969,0,47.7367,-122.195,2014,12,22,45,0
475000,4,2.25,1800,7200,1.0,7,1230,570,1979,0,47.7717,-122.376,2015,3,26,36,0
630000,4,2.5,2740,43101,2.0,9,2740,0,1993,0,47.7649,-122.04899999999999,2014,5,28,21,0
450000,3,1.0,1350,92721,1.0,6,1200,150,1946,0,47.4657,-122.198,2015,5,4,69,0
675000,4,2.5,2990,5400,2.0,8,2990,0,2005,0,47.6122,-122.009,2015,4,22,10,0
280000,3,2.5,1550,4486,2.0,7,1550,0,2000,0,47.3299,-122.26899999999999,2015,5,7,15,0
950000,4,1.75,3100,21303,1.0,9,3100,0,1962,0,47.5847,-122.081,2014,9,13,52,0
319990,4,2.5,2120,5293,2.0,7,2120,0,2003,0,47.4217,-122.20100000000001,2014,12,15,11,0
207000,4,2.5,2100,19680,1.5,6,2100,0,1914,0,47.4787,-122.23,2014,10,6,100,0
700000,3,1.75,2100,5000,1.5,8,2100,0,1916,0,47.6776,-122.36,2014,11,10,98,0
253000,3,2.0,1490,7651,1.0,7,1490,0,1988,0,47.3211,-122.325,2015,5,5,27,0
552000,3,1.0,1430,5000,1.0,6,1080,350,1919,0,47.6724,-122.296,2014,5,23,95,0
721000,2,1.5,1790,4250,1.0,7,920,870,1915,2014,47.6367,-122.301,2014,9,24,99,0
349000,4,2.5,2280,4096,2.0,7,2280,0,2003,0,47.4834,-122.182,2014,7,22,11,0
665000,3,2.5,3136,54450,1.5,8,3136,0,1910,0,47.3999,-122.47200000000001,2014,7,25,104,0
267000,3,2.5,2495,4400,2.0,8,2495,0,2007,0,47.288000000000004,-122.28299999999999,2014,5,28,7,0
552000,2,1.0,1150,5000,1.0,7,1050,100,1924,0,47.6846,-122.31700000000001,2014,9,11,90,0
500000,4,3.0,2570,9104,2.0,7,2570,0,1930,0,47.5821,-122.40100000000001,2015,3,27,85,0
384000,3,2.25,1430,800,2.0,8,1140,290,2011,0,47.5477,-122.38799999999999,2014,7,30,3,0
439950,3,1.75,1720,223377,1.0,7,1240,480,1950,0,47.7329,-121.92,2015,2,25,65,0
628000,4,2.0,2280,6010,1.0,7,1140,1140,1900,0,47.6034,-122.289,2014,5,4,114,0
719000,4,2.75,2210,3400,1.5,7,1470,740,1926,0,47.6826,-122.311,2014,9,29,88,0
528000,2,1.0,1260,5100,1.5,7,1120,140,1925,0,47.6805,-122.384,2014,11,19,89,0
820000,4,2.75,3540,13515,2.0,10,3540,0,1998,0,47.5945,-121.98200000000001,2014,12,8,16,0
324500,3,2.5,1660,3990,2.0,7,1660,0,2009,0,47.5298,-122.26799999999999,2014,6,5,5,0
538888,5,2.75,2080,13189,2.0,8,2080,0,1987,0,47.6288,-122.031,2014,5,31,27,0
606000,3,2.0,1980,7680,1.5,6,1070,910,1911,0,47.6839,-122.195,2015,3,4,104,0
175000,2,1.0,670,2378,1.0,5,670,0,1919,0,47.5769,-122.37200000000001,2014,6,4,95,0
194820,3,1.5,1100,32700,1.0,7,1100,0,1967,0,47.3186,-122.289,2014,11,21,47,0
477500,5,3.5,2815,5619,2.0,9,2815,0,2012,0,47.4299,-122.20700000000001,2015,4,16,3,0
123000,2,1.0,1050,6600,1.5,6,1050,0,1964,0,47.4828,-122.324,2014,7,2,50,0
376000,3,2.0,1540,1827,2.0,8,1540,0,2005,0,47.5479,-121.999,2014,12,29,9,0
970000,5,3.5,3400,9804,2.0,9,2550,850,2008,0,47.543,-122.266,2014,10,22,6,0
550000,3,1.5,1730,5750,1.0,7,1250,480,1947,0,47.5645,-122.397,2014,9,9,67,0
680000,4,2.5,3490,3677,2.0,9,2850,640,2007,0,47.773999999999994,-122.162,2015,4,9,8,0
230000,2,1.0,720,5913,1.0,6,720,0,1920,0,47.5447,-122.27,2014,12,29,94,0
194000,3,1.0,1400,7955,1.0,7,1400,0,1964,0,47.4848,-122.221,2014,9,25,50,0
652000,3,2.0,2130,5000,1.5,7,1330,800,1925,0,47.6746,-122.36200000000001,2014,10,2,89,0
475000,4,2.5,2500,4500,2.0,7,2500,0,2010,0,47.4928,-122.149,2015,4,13,5,0
736000,3,2.25,2470,11603,2.0,8,1540,930,1988,0,47.6569,-122.12299999999999,2015,3,24,27,0
325000,1,0.75,410,8636,1.0,4,410,0,1953,0,47.5077,-122.35700000000001,2015,1,30,62,0
555000,5,3.0,3640,6930,2.0,8,3640,0,2004,0,47.3521,-122.012,2014,6,26,10,0
546000,2,1.0,1657,5031,2.0,7,1657,0,1910,0,47.5699,-122.389,2014,11,4,104,0
332544,2,1.75,1710,4187,1.0,7,1710,0,1987,0,47.4732,-122.18799999999999,2014,10,20,27,0
641500,1,1.0,1000,9084,1.0,7,1000,0,1950,0,47.5007,-122.382,2015,3,10,65,0
700000,4,2.5,3040,7200,2.0,9,3040,0,2008,0,47.7747,-122.366,2015,1,14,7,0
333000,5,1.75,1240,8936,1.0,7,1240,0,1954,0,47.5738,-122.13600000000001,2014,11,18,60,0
585888,3,2.0,1490,7431,1.0,7,1490,0,1966,0,47.6697,-122.162,2015,4,21,49,0
305000,3,1.0,1120,10125,1.0,6,1120,0,1961,0,47.4794,-122.07799999999999,2015,4,22,54,0
363000,2,1.0,1120,4800,1.0,7,770,350,1926,0,47.5669,-122.37200000000001,2014,12,9,88,0
342500,2,1.5,1320,826,2.0,8,1100,220,2008,0,47.5879,-122.304,2014,7,10,6,0
575000,3,2.0,1520,5000,1.5,7,1140,380,1945,0,47.6733,-122.389,2015,2,23,70,0
750000,3,2.5,2620,43832,2.0,8,2620,0,2013,0,47.655,-122.009,2014,7,18,1,0
275000,3,2.0,1380,3500,2.0,7,1380,0,1971,0,47.5558,-122.27,2014,9,5,43,0
325000,3,1.5,1270,1067,3.0,8,1270,0,2009,0,47.7236,-122.353,2014,10,3,5,0
470000,5,1.75,2030,12342,2.0,7,2030,0,1942,0,47.6417,-122.109,2014,8,27,72,0
680000,3,1.75,1870,4320,1.0,7,970,900,1920,0,47.6663,-122.35700000000001,2015,3,27,95,0
350000,4,1.75,2250,13515,1.0,8,2150,100,1940,0,47.3789,-122.229,2014,5,8,74,0
210000,3,1.5,1250,9484,1.0,7,1250,0,1969,0,47.3675,-122.147,2014,9,5,45,0
268500,2,1.5,1290,1749,1.0,8,660,630,1969,0,47.6118,-122.116,2014,12,19,45,0
875909,4,2.5,3610,13292,2.0,10,3610,0,1996,0,47.5868,-121.97399999999999,2015,4,13,19,0
317500,4,2.5,2150,9000,1.0,7,1360,790,1979,0,47.4785,-122.16,2014,8,11,35,0
760000,3,2.5,4040,147856,2.0,9,4040,0,2004,0,47.2711,-122.06700000000001,2014,10,28,10,0
318000,3,1.5,1240,983,3.0,8,1240,0,2009,0,47.7235,-122.353,2015,2,13,6,0
1610000,5,4.5,6085,142725,3.0,11,6085,0,2000,0,47.6085,-121.95200000000001,2014,8,28,14,0
243500,4,2.5,1980,7403,2.0,7,1980,0,1988,0,47.2897,-122.37200000000001,2014,5,22,26,0
430000,3,2.5,1690,1310,2.0,8,1140,550,2004,0,47.5404,-122.387,2015,2,26,11,0
862000,4,2.25,2220,4200,1.5,8,1310,910,1932,0,47.6418,-122.39399999999999,2015,4,9,83,0
230000,6,1.5,1810,4838,1.5,5,1050,760,1905,0,47.4874,-122.20200000000001,2014,12,30,109,0
313500,3,2.25,1440,3488,2.0,7,1440,0,1983,0,47.7257,-122.162,2014,8,7,31,0
392500,3,1.0,1100,7650,1.0,7,1100,0,1952,0,47.7219,-122.354,2015,4,13,63,0
402000,3,1.5,1450,7375,1.0,7,1010,440,1968,0,47.7212,-122.179,2014,6,17,46,0
478000,3,1.0,1440,7107,1.0,7,1000,440,1980,0,47.6968,-122.124,2015,3,20,35,0
1000000,4,2.0,1780,15648,1.5,8,1780,0,1918,0,47.5849,-122.198,2014,7,29,96,0
510000,5,3.25,3400,4499,2.0,8,2740,660,2005,0,47.5385,-121.88,2015,2,16,10,0
229500,3,1.0,1230,6000,1.0,7,1230,0,1967,0,47.3256,-122.209,2014,7,7,47,0
347000,3,1.75,1330,7848,1.0,8,1330,0,1978,0,47.4463,-122.12700000000001,2015,4,7,37,0
550000,3,3.5,1450,1091,2.0,8,1200,250,2007,0,47.6475,-122.359,2015,4,18,8,0
595000,2,1.75,1280,8500,1.0,7,1280,0,1953,2010,47.6553,-122.19,2014,10,29,61,4
231000,4,2.0,1530,6375,2.0,7,1530,0,1942,1983,47.4692,-122.162,2014,5,29,72,31
1099500,4,2.0,2580,6000,1.0,9,1300,1280,1950,0,47.6514,-122.413,2014,6,3,64,0
275500,2,1.0,720,11400,1.0,6,720,0,1951,0,47.7641,-122.34100000000001,2014,6,27,63,0
145000,3,1.0,1010,5490,1.0,6,1010,0,1954,0,47.4762,-122.29299999999999,2014,5,29,60,0
154500,3,1.0,890,9465,1.0,6,890,0,1957,0,47.4388,-122.32799999999999,2014,9,24,57,0
552500,3,2.25,2700,4025,2.0,8,1760,940,1907,0,47.6074,-122.294,2014,7,23,107,0
249950,3,1.5,1450,6875,1.0,7,1450,0,1961,0,47.4205,-122.316,2015,3,23,54,0
335000,2,2.0,1350,2560,1.0,8,1350,0,1976,0,47.6344,-122.10700000000001,2014,5,2,38,0
215000,3,1.0,1690,7700,1.0,7,1690,0,1969,0,47.3444,-122.304,2014,11,19,45,0
294000,5,2.75,2300,7600,1.0,7,1400,900,1969,0,47.3084,-122.37200000000001,2014,10,30,45,0
1538000,3,2.25,2880,7599,1.0,9,1710,1170,1958,2002,47.6938,-122.215,2014,6,17,56,12
446000,2,1.5,1370,1221,2.0,8,1080,290,2008,0,47.6039,-122.307,2014,6,26,6,0
485000,3,2.5,2270,7887,2.0,8,2270,0,2004,0,47.5326,-121.855,2014,9,15,10,0
218000,3,1.0,1020,7874,1.0,7,1020,0,1956,0,47.5175,-122.346,2014,5,21,58,0
239900,4,1.0,1000,7134,1.0,6,1000,0,1943,0,47.4897,-122.24,2014,12,29,71,0
1780000,4,3.25,3950,10912,2.0,10,3950,0,2003,0,47.5877,-122.196,2015,4,29,12,0
930000,4,4.25,5710,24663,2.0,11,5710,0,2007,0,47.3065,-122.15799999999999,2014,11,3,7,0
163500,2,1.5,1050,3419,2.0,7,1050,0,1996,0,47.3848,-122.039,2014,7,23,18,0
690000,3,2.0,1610,5100,1.5,8,1610,0,1940,0,47.6825,-122.307,2014,5,19,74,0
675000,4,2.0,1890,5188,1.5,7,1670,220,1940,0,47.6633,-122.287,2014,8,19,74,0
405000,3,1.0,1250,7280,1.0,7,1250,0,1975,0,47.6986,-122.12899999999999,2015,1,6,40,0
960000,4,3.0,4590,9150,2.0,10,3490,1100,1981,0,47.7234,-122.37200000000001,2014,6,3,33,0
449228,5,2.5,3020,24750,1.0,8,1650,1370,1965,0,47.5897,-122.179,2015,3,27,50,0
375000,4,2.0,1790,61419,2.0,7,1790,0,1988,0,47.7216,-121.90700000000001,2015,4,2,27,0
253000,3,1.5,880,6600,1.0,6,880,0,1945,0,47.5002,-122.24700000000001,2014,6,17,69,0
920000,4,2.75,3140,9085,1.0,8,1570,1570,1961,0,47.5675,-122.16,2014,9,8,53,0
632000,3,2.25,2730,7521,2.0,9,2730,0,1992,0,47.7704,-122.196,2015,3,17,23,0
695000,3,3.75,2380,3600,1.5,7,1690,690,1927,0,47.6374,-122.307,2014,9,5,87,0
590000,4,2.5,2240,9385,2.0,8,2240,0,1991,0,47.7125,-122.33200000000001,2014,10,16,23,0
329500,3,2.5,2120,22482,1.0,7,1360,760,1979,0,47.341,-122.265,2015,4,28,36,0
352450,3,2.0,1430,6000,1.0,7,1430,0,1945,0,47.7564,-122.316,2014,6,19,69,0
477000,3,2.5,1350,2053,3.0,8,1350,0,2005,0,47.6758,-122.38600000000001,2014,5,19,9,0
210000,2,1.0,970,8874,1.0,7,970,0,1968,0,47.4943,-122.178,2014,11,24,46,0
457000,4,2.5,2200,10800,1.0,8,1500,700,1964,0,47.7711,-122.288,2015,4,15,51,0
1245000,5,2.5,3370,8113,2.0,9,3370,0,2005,0,47.5812,-122.196,2014,12,15,9,0
452000,3,2.25,2600,14810,1.0,8,1490,1110,1956,0,47.4326,-122.34100000000001,2014,8,5,58,0
594000,4,2.75,2720,4613,2.0,9,2720,0,2005,0,47.7352,-122.223,2014,6,25,9,0
750000,4,2.5,2540,6491,2.0,8,2540,0,1997,0,47.6363,-122.117,2015,2,6,18,0
395000,4,2.75,1970,37026,1.0,8,1970,0,1961,0,47.4375,-122.446,2014,7,9,53,0
1130000,4,3.5,4300,8406,2.0,11,3580,720,1987,0,47.5396,-122.214,2014,10,21,27,0
482000,5,2.25,2230,9600,1.0,8,1320,910,1978,0,47.7466,-122.07600000000001,2014,5,22,36,0
494000,4,1.75,2090,4300,1.5,7,1250,840,1925,0,47.5555,-122.397,2014,5,20,89,0
419000,4,2.0,2180,10447,1.0,8,1280,900,1969,0,47.7675,-122.279,2014,7,25,45,0
585000,4,1.75,1760,5356,1.0,7,920,840,1950,0,47.678999999999995,-122.288,2014,11,5,64,0
480000,4,1.75,2320,4322,1.0,7,1140,1180,1910,0,47.5755,-122.289,2014,6,10,104,0
608000,4,2.75,2490,9714,1.0,8,1400,1090,1983,0,47.7496,-122.20100000000001,2014,6,10,31,0
455600,3,2.5,2420,8252,2.0,7,2420,0,1998,0,47.5382,-121.87100000000001,2014,5,27,16,0
330000,2,2.5,1240,1546,2.0,7,1240,0,2007,0,47.5634,-122.29799999999999,2014,5,30,7,0
383000,3,2.5,1720,10031,2.0,8,1720,0,1993,0,47.7688,-122.238,2014,12,23,21,0
458500,3,2.0,1890,1599,2.0,9,1430,460,2012,0,47.5438,-122.385,2014,6,23,2,0
226500,3,1.75,1640,10762,1.0,7,1130,510,1988,0,47.3586,-122.074,2014,5,7,26,0
599000,4,2.5,2640,6738,2.0,8,2640,0,1989,0,47.5787,-122.0,2014,8,22,25,0
637850,5,3.25,3340,4900,2.0,9,2500,840,2014,0,47.5193,-121.87700000000001,2014,11,21,0,0
515000,4,2.5,2980,12534,2.0,9,2980,0,1996,0,47.3999,-122.211,2015,5,9,19,0
224950,4,2.5,2260,9686,1.0,7,1520,740,1965,0,47.286,-122.21799999999999,2014,7,23,49,0
210000,2,1.0,1100,6000,1.5,6,1100,0,1900,0,47.5275,-122.323,2015,5,1,115,0
760000,3,3.5,2350,10739,1.0,7,1340,1010,1940,0,47.7288,-122.28399999999999,2014,12,12,74,0
635000,4,2.5,2720,7991,2.0,9,2720,0,2006,0,47.7168,-122.331,2015,1,13,9,0
290000,3,2.25,1620,7772,2.0,8,1620,0,1988,0,47.3521,-122.302,2015,5,7,27,0
1750000,4,3.25,3460,7749,2.0,10,3020,440,1950,1998,47.6849,-122.273,2014,8,19,64,16
380000,2,1.0,700,4836,1.0,6,700,0,1926,0,47.7139,-122.288,2014,12,16,88,0
239900,4,1.75,1480,9523,1.0,7,1120,360,1959,0,47.3732,-122.21700000000001,2014,12,19,55,0
122000,2,1.0,760,5280,1.0,6,760,0,1946,0,47.483000000000004,-122.33,2015,4,22,69,0
2350000,4,2.25,4370,22863,2.5,10,3670,700,1907,1994,47.6878,-122.215,2014,9,3,107,20
